"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
6,23,273,"B08K95SLZ3",false,370,"INR",0,0,0,321,4.7,"https://www.amazon.in/dp/B08K95SLZ3","1508.70",false,false,false,false,"Vim Dishwash Gel - 1.8 L (Lemon)","https://m.media-amazon.com/images/I/51gFR497YvL._AC_UL320_.jpg"
6,24,274,"B01MTNDNMI",false,46,"INR",0,0,0,4442,4.4,"https://www.amazon.in/dp/B01MTNDNMI","19544.80",false,false,false,false,"Haldiram's Salted Peanut, 200g","https://m.media-amazon.com/images/I/81SvmNk7zRL._AC_UL320_.jpg"
6,25,275,"B08X7WTBYP",false,24,"INR",0,0,0,1,3,"https://www.amazon.in/dp/B08X7WTBYP","3.00",false,false,false,false,"Catch Ginger Paste 100 g , Pouch","https://m.media-amazon.com/images/I/61X9wE0sm+S._AC_UL320_.jpg"
6,26,276,"B074WXM1C8",true,202,"INR",245,43,17.55,6791,4.4,"https://www.amazon.in/dp/B074WXM1C8","29880.40",false,false,false,false,"Dhara Kachi Ghani Mustard Oil, 1L Bottle","https://m.media-amazon.com/images/I/71RjEXRui8L._AC_UL320_.jpg"
6,27,277,"B08HSVNGMT",true,885,"INR",1300,415,31.92,8054,4.1,"https://www.amazon.in/dp/B08HSVNGMT","33021.40",false,false,false,true,"Upcrop Premium California Almonds 1kg,Raw","https://m.media-amazon.com/images/I/61sHJM9jnDL._AC_UL320_.jpg"
6,28,278,"B00NWFXGDS",true,334,"INR",362,28,7.73,26695,4.5,"https://www.amazon.in/dp/B00NWFXGDS","120127.50",false,false,true,false,"Lizol Disinfectant Surface & Floor Cleaner Liquid, Pine - 2 L | Kills 99.9% Germs","https://m.media-amazon.com/images/I/61tyQfIUK+L._AC_UL320_.jpg"
6,29,279,"B01CHVPZJK",true,268,"INR",400,132,33,2007,4.4,"https://www.amazon.in/dp/B01CHVPZJK","8830.80",false,false,false,false,"Tetley Long Leaf Green Tea, 500g","https://m.media-amazon.com/images/I/81TNZhajJ3L._AC_UL320_.jpg"
6,30,280,"B09BFHV39H",true,55,"INR",80,25,31.25,6,3.6,"https://www.amazon.in/dp/B09BFHV39H","21.60",false,false,false,false,"Minute Maid Mix Fruit Juice","https://m.media-amazon.com/images/I/710ooCddnGL._AC_UL320_.jpg"
6,31,281,"B086KP9S92",false,215,"INR",0,0,0,2514,4.5,"https://www.amazon.in/dp/B086KP9S92","11313.00",false,false,false,false,"Dettol Cool Germ Protection Bathing Soap bar, 125gm (Pack of 5)","https://m.media-amazon.com/images/I/61sphyu9vWS._AC_UL320_.jpg"
6,32,282,"B01NBBAW4H",true,112,"INR",169,57,33.73,6471,4.4,"https://www.amazon.in/dp/B01NBBAW4H","28472.40",false,false,false,false,"McVitie's Digestive High Fibre biscuits with Goodness of Wholewheat, 1Kg Super Saver Family Pack","https://m.media-amazon.com/images/I/619ZMjR1+XS._AC_UL320_.jpg"
6,33,283,"B01CHV2G2Y",true,45,"INR",67,22,32.84,10101,4.4,"https://www.amazon.in/dp/B01CHV2G2Y","44444.40",false,false,false,false,"Catch Turmeric Powder, 200g","https://m.media-amazon.com/images/I/61gRcZHQp8L._AC_UL320_.jpg"
6,34,284,"B089MGCFR5",false,94,"INR",0,0,0,984,4.5,"https://www.amazon.in/dp/B089MGCFR5","4428.00",false,false,false,false,"Surf Excel Detergent Bar - 800 g (Pack of 4 x 200 g)","https://m.media-amazon.com/images/I/61cZ0aMkozL._AC_UL320_.jpg"
6,36,286,"B07MF9CX2H",true,171,"INR",190,19,10,476,3.9,"https://www.amazon.in/dp/B07MF9CX2H","1856.40",false,false,false,false,"Aashirvaad Nature's Super Foods Gluten Free Flour Pouch, 1 kg","https://m.media-amazon.com/images/I/819vYkT-VHL._AC_UL320_.jpg"
6,37,287,"B08KFQ8FHM",false,115,"INR",0,0,0,18,4.6,"https://www.amazon.in/dp/B08KFQ8FHM","82.80",false,false,false,false,"Red Bull Energy Drink, 250 ml","https://m.media-amazon.com/images/I/51Bp30CR3IL._AC_UL320_.jpg"
6,39,289,"B07X3P6FM8",true,490,"INR",590,100,16.95,8174,4.5,"https://www.amazon.in/dp/B07X3P6FM8","36783.00",false,false,false,false,"Red Label Natural Care Tea, Made with 5 Ayurvedic Herbs, 1 Kg","https://m.media-amazon.com/images/I/613yBwq7wiL._AC_UL320_.jpg"
6,40,290,"B01H7BPDFQ",true,172,"INR",230,58,25.22,2726,4.2,"https://www.amazon.in/dp/B01H7BPDFQ","11449.20",false,false,false,false,"Himalaya Anti Hair Fall Shampoo, 400ml","https://m.media-amazon.com/images/I/51Xipiv8aAL._AC_UL320_.jpg"
6,42,292,"B01MS8C31P",true,140,"INR",150,10,6.67,3000,4.3,"https://www.amazon.in/dp/B01MS8C31P","12900.00",false,false,false,false,"Santoor Sandalwood and Almond milk Organic Soft Bath Soap for Softer, Smoother and Moisturised Skin, Combo Offer 125 g Buy...","https://m.media-amazon.com/images/I/71tPHg1AmeS._AC_UL320_.jpg"
6,44,294,"B08C3KG48D",false,40,"INR",0,0,0,2487,3.9,"https://www.amazon.in/dp/B08C3KG48D","9699.30",false,false,false,false,"Haldiram Rusk, 300g","https://m.media-amazon.com/images/I/41BuYxY3wgL._AC_UL320_.jpg"
6,45,295,"B09CTLPB81",true,409,"INR",529,120,22.68,5,4.6,"https://www.amazon.in/dp/B09CTLPB81","23.00",false,false,false,false,"Tata Sampann Chilli Powder with Natural Oils, 500g + Coriander Powder with natural Oils, 500g + Turmeric Powder with Natur...","https://m.media-amazon.com/images/I/81LdIsXGVmL._AC_UL320_.jpg"
6,46,296,"B00XJENCDQ",false,30,"INR",0,0,0,502,4.3,"https://www.amazon.in/dp/B00XJENCDQ","2158.60",false,false,false,false,"Sunfeast Dark Fantasy Chocolate, 100 g","https://m.media-amazon.com/images/I/71LusMnrIaS._AC_UL320_.jpg"
6,47,297,"B07L13FBK2",true,85,"INR",110,25,22.73,2497,4.2,"https://www.amazon.in/dp/B07L13FBK2","10487.40",false,false,false,false,"Amazon Brand - Vedaka SOYA Mini Chunks, 500g","https://m.media-amazon.com/images/I/91BKcNpNRcL._AC_UL320_.jpg"
7,11,299,"B08F7VNQ1Z",true,329,"INR",600,271,45.17,1112,4.1,"https://www.amazon.in/dp/B08F7VNQ1Z","4559.20",false,false,false,false,"UpCrop California Extra-Light Halves Walnut Kernels 200gm","https://m.media-amazon.com/images/I/61aGqcQxHMS._AC_UL320_.jpg"
